"Timestamp","LogLevel","Reference","Category","Message","Reaspm"
"2023-11-03 11:09:33.857827","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [SEP parser] exists",""
"2023-11-03 11:09:33.860085","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_OSAnalyticsADDaily] exists",""
"2023-11-03 11:09:33.870562","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_SafariBrowserState] exists",""
"2023-11-03 11:09:33.870759","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [UserAccessLogging] exists",""
"2023-11-03 11:09:33.878575","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Amcache] exists",""
"2023-11-03 11:09:33.888125","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_TCC] exists",""
"2023-11-03 11:09:33.890559","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [RedLineParser] exists",""
"2023-11-03 11:09:33.890604","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [AppCompatFlags] exists",""
"2023-11-03 11:09:33.893188","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [NetLogon] exists",""
"2023-11-03 11:09:33.895114","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_SMSAttachments] exists",""
"2023-11-03 11:09:33.905376","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Exchange Logs] exists",""
"2023-11-03 11:09:33.911595","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Bam] exists",""
"2023-11-03 11:09:33.913605","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_WebkitSessionResourceLog] exists",""
"2023-11-03 11:09:33.916262","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Recyclebin] exists",""
"2023-11-03 11:09:33.930203","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_Shortcuts] exists",""
"2023-11-03 11:09:33.932385","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [IIS Access Logs] exists",""
"2023-11-03 11:09:33.933773","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Amcache] exists",""
"2023-11-03 11:09:33.922609","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ComputerName] exists",""
"2023-11-03 11:09:33.947143","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [AppCompatFlags] exists",""
"2023-11-03 11:09:33.947348","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [DHCP] exists",""
"2023-11-03 11:09:33.954279","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_BackupInfo] exists",""
"2023-11-03 11:09:33.959736","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Bam] exists",""
"2023-11-03 11:09:33.970364","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [InstalledApp] exists",""
"2023-11-03 11:09:33.970636","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ComputerName] exists",""
"2023-11-03 11:09:33.972638","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [RecentFileCache] exists",""
"2023-11-03 11:09:33.974830","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_Datausage] exists",""
"2023-11-03 11:09:33.982306","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [RUA] exists",""
"2023-11-03 11:09:33.984738","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [DHCP] exists",""
"2023-11-03 11:09:33.997866","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [InstalledApp] exists",""
"2023-11-03 11:09:34.000223","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [InstalledComponents] exists",""
"2023-11-03 11:09:34.006807","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_SafariHistory] exists",""
"2023-11-03 11:09:34.012860","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [IIS_Sites] exists",""
"2023-11-03 11:09:34.013586","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [InstalledComponents] exists",""
"2023-11-03 11:09:34.019388","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [LastVisitedMRU] exists",""
"2023-11-03 11:09:34.022557","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_SMS] exists",""
"2023-11-03 11:09:34.027098","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [LastVisitedMRU] exists",""
"2023-11-03 11:09:34.030505","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [pcap_parser] exists",""
"2023-11-03 11:09:34.040543","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [LaunchTracing] exists",""
"2023-11-03 11:09:34.042389","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [LaunchTracing] exists",""
"2023-11-03 11:09:34.046548","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [ios_WebkitResourceLoadStatistics] exists",""
"2023-11-03 11:09:34.050168","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [MuiCache] exists",""
"2023-11-03 11:09:34.053689","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [Browser_History] exists",""
"2023-11-03 11:09:34.063996","[DEBUG]","dbstuff.py.__init__[Lin.511]","mongo_parsers","Parser [OpenSaveMRU] exists",""
